"rt","responses","time_elapsed"
"3045","2 被別的刺激分心","159991"
"3815","5","163813"
"2227","3 在思考與作業無關的事情","236521"
"1605","4","238138"
"4839","3 在思考與作業無關的事情","288391"
"1900","5","290298"
"4979","1 專注在這個作業上","315732"
"2955","3","318692"
"1485","1 專注在這個作業上","437290"
"1865","5","439159"
"2530","1 專注在這個作業上","462349"
"2230","4","464590"
"1539","2 被別的刺激分心","533719"
"1946","5","535671"
"2389","3 在思考與作業無關的事情","557090"
"1826","2","558920"
"2421","3 在思考與作業無關的事情","651828"
"1439","5","653274"
"4655","3 在思考與作業無關的事情","749437"
"1602","5","751044"
"1596","3 在思考與作業無關的事情","794294"
"2452","5","796752"
"1726","3 在思考與作業無關的事情","818651"
"1625","5","820280"
