"rt","responses","time_elapsed"
"5707","{""Q0"":1}","73467"
"3118","{""Q0"":""1 專注在這個作業上""}","102901"
"3176","{""Q0"":5}","106091"
"2491","{""Q0"":""2 被別的刺激分心""}","222651"
"3333","{""Q0"":3}","225991"
"3875","{""Q0"":""1 專注在這個作業上""}","320499"
"1808","{""Q0"":4}","322310"
"2180","{""Q0"":""1 專注在這個作業上""}","345203"
"4320","{""Q0"":4}","349528"
"3226","{""Q0"":""1 專注在這個作業上""}","396924"
"1788","{""Q0"":5}","398717"
"1877","{""Q0"":""1 專注在這個作業上""}","422308"
"1433","{""Q0"":4}","423753"
"2008","{""Q0"":""1 專注在這個作業上""}","478113"
"2492","{""Q0"":5}","480613"
"2105","{""Q0"":""1 專注在這個作業上""}","504460"
"1853","{""Q0"":4}","506318"
"2091","{""Q0"":""2 被別的刺激分心""}","577243"
"1392","{""Q0"":3}","578642"
"1926","{""Q0"":""1 專注在這個作業上""}","631689"
"1715","{""Q0"":4}","633411"
"1465","{""Q0"":""1 專注在這個作業上""}","653385"
"1422","{""Q0"":4}","654814"
"1815","{""Q0"":""1 專注在這個作業上""}","682777"
"1263","{""Q0"":4}","684046"
"2229","{""Q0"":""2 被別的刺激分心""}","731829"
"1832","{""Q0"":3}","733667"
"1828","{""Q0"":""3 在思考與作業無關的事情""}","805265"
"1981","{""Q0"":2}","807253"
"3044","{""Q0"":2}","834132"
