"rt","responses","time_elapsed"
"2397","1 專注在這個作業上","114435"
"2501","3","116944"
"2085","1 專注在這個作業上","140771"
"1794","3","142569"
"1886","1 專注在這個作業上","166303"
"2134","3","168441"
"1631","1 專注在這個作業上","237811"
"1185","4","239002"
"1516","1 專注在這個作業上","284788"
"1028","4","285822"
"1566","1 專注在這個作業上","308250"
"1026","3","309279"
"1516","2 被別的刺激分心","330215"
"1501","2","331720"
"2562","2 被別的刺激分心","353855"
"1652","2","355512"
"1922","1 專注在這個作業上","447495"
"2011","4","449513"
"1607","1 專注在這個作業上","490144"
"994","3","491144"
"2733","1 專注在這個作業上","514493"
"1345","4","515841"
"1535","2 被別的刺激分心","537519"
"1484","2","539007"
"2557","2 被別的刺激分心","563204"
"1003","3","564212"
"3062","2 被別的刺激分心","610952"
"1143","3","612099"
"1653","2 被別的刺激分心","633117"
"1095","3","634216"
"2038","1 專注在這個作業上","657478"
"1969","4","659452"
"1479","2 被別的刺激分心","680363"
"1158","2","681526"
"2270","1 專注在這個作業上","728901"
"4168","4","733072"
"1510","1 專注在這個作業上","755400"
"945","4","756352"
"1459","1 專注在這個作業上","777813"
"1222","4","779042"
"1449","1 專注在這個作業上","800367"
"1541","4","801915"
