"rt","responses","time_elapsed"
"4076","1 專注在這個作業上","300573"
"3274","6","303854"
"3645","1 專注在這個作業上","329083"
"2162","5","331249"
"2214","1 專注在這個作業上","354580"
"1990","5","356577"
"1938","1 專注在這個作業上","379178"
"1248","5","380431"
"2230","1 專注在這個作業上","449280"
"1776","5","451061"
"4397","1 專注在這個作業上","506442"
"3783","5","510232"
"2229","2 被別的刺激分心","533644"
"3055","5","536702"
"1688","3 在思考與作業無關的事情","580281"
"1511","4","581799"
"1771","3 在思考與作業無關的事情","603401"
"1562","3","604971"
"1852","3 在思考與作業無關的事情","676205"
"1476","4","677687"
"2645","3 在思考與作業無關的事情","703271"
"1033","4","704310"
"2370","3 在思考與作業無關的事情","756063"
"2034","4","758102"
"2160","3 在思考與作業無關的事情","805959"
"2231","4","808197"
