"Start_vid" ,"1547783789343"
"Psych_offset" ,"1547783789343" , "105357"
"rt","responses","time_elapsed"
"4213","{""Q0"":""2 被別的刺激分心""}","94765"
"6054","{""Q0"":2}","100829"
"5121","{""Q0"":0}","110492"
"3476","{""Q0"":""1 專注在這個作業上""}","183237"
"4414","{""Q0"":5}","187660"
"4071","{""Q0"":""1 專注在這個作業上""}","214114"
"3762","{""Q0"":5}","217881"
"5276","{""Q0"":""1 專注在這個作業上""}","422046"
"2949","{""Q0"":5}","425008"
"3056","{""Q0"":""1 專注在這個作業上""}","469694"
"1888","{""Q0"":5}","471592"
"4007","{""Q0"":""1 專注在這個作業上""}","540523"
"2401","{""Q0"":5}","542935"
"3521","{""Q0"":""1 專注在這個作業上""}","567619"
"2377","{""Q0"":4}","570005"
"2144","{""Q0"":""1 專注在這個作業上""}","613007"
"1439","{""Q0"":4}","614454"
"2332","{""Q0"":""1 專注在這個作業上""}","678219"
"2269","{""Q0"":5}","680498"
"2786","{""Q0"":""2 被別的刺激分心""}","744642"
"2919","{""Q0"":3}","747570"
"2136","{""Q0"":""1 專注在這個作業上""}","791709"
"4451","{""Q0"":4}","796168"
"2521","{""Q0"":""1 專注在這個作業上""}","818310"
"1785","{""Q0"":4}","820099"
"2211","{""Q0"":0}","822315"
